N,ID,correct,fitness,incorrect
523,52275,26,20657.189522,13
524,52319,29,32139.871845,11
525,52439,31,34468.793892,9
526,52571,32,39013.486827,8
527,52659,29,11953.814351,11
528,52722,31,26892.455185,7
529,52871,31,63463.181721,8
530,52958,24,12724.893124,16
531,53006,28,13515.830524,11
532,53117,26,12605.312589,11
533,53207,26,9617.474517,13
534,53308,28,7538.217549,11
535,53445,28,21881.871380,11
536,53524,27,23092.292991,13
537,53635,32,70365.802714,7
538,53750,29,18650.474631,11
539,53850,33,82507.855074,7
540,53989,23,9745.568818,16
541,54063,28,13435.428475,11
542,54157,27,19019.330513,12
543,54257,28,9067.516819,10
544,54331,28,38340.160640,12
545,54440,30,20862.757277,9
546,54576,32,19763.978930,8
547,54691,34,40525.024030,6
548,54709,32,31023.461838,7
549,54864,27,24731.960849,13
550,54992,29,21257.682459,10
551,55024,30,19393.770526,9
552,55193,28,30746.399607,12
553,55212,27,26776.391579,12
554,55313,29,79640.002551,10
555,55489,29,76774.497189,10
556,55572,31,25950.963615,9
557,55652,24,14492.593988,15
558,55701,33,63314.835912,7
559,55882,33,76585.233681,7
560,55949,30,62361.212626,10
561,56057,32,31186.470293,8
562,56118,29,87632.749442,11
563,56214,32,75696.186534,8
564,56367,28,30909.502097,12
565,56439,33,37353.961658,6
566,56505,27,12965.126527,13
567,56616,30,15727.878531,10
568,56715,29,29583.471253,10
569,56830,24,9284.687719,16
570,56955,28,89097.877354,12
571,57012,26,24248.204484,13
572,57103,32,67412.347791,8
573,57220,27,14192.749806,12
574,57369,31,44984.843401,8
575,57497,32,46582.604007,8
576,57592,26,11665.372021,12
577,57619,34,16220.560839,6
578,57779,25,7020.449694,15
579,57842,27,53020.496606,12
580,57935,32,25447.938888,8
581,58007,27,52572.065482,13
582,58196,29,34897.508664,11
583,58260,29,21278.603584,10
584,58388,32,27310.422375,7
585,58402,34,110962.581755,6
586,58539,32,16294.398834,8
587,58642,29,22868.140600,10
588,58766,24,12381.926407,15
589,58852,31,91354.109974,9
590,58980,29,62644.385169,10
591,59093,26,26789.774819,14
592,59112,26,39678.508747,13
593,59234,26,17585.738758,12
594,59309,30,57706.883212,10
595,59403,30,47742.732848,8
596,59557,30,14312.437191,10
597,59620,31,48112.044626,8
598,59765,29,25410.953999,8
599,59862,27,7236.562225,13
600,59902,35,115713.362681,4
601,60021,34,71612.042777,5
602,60151,22,19515.242116,18
603,60248,25,25296.828895,14
604,60388,31,31562.732002,8
605,60407,28,18228.885786,12
606,60564,29,31094.909713,11
607,60662,30,32363.943279,10
608,60728,28,115113.724622,12
609,60884,29,12285.964814,11
610,60901,29,25721.740662,10
611,61011,26,18868.831437,12
612,61172,28,15672.628164,10
613,61212,24,11192.967565,16
614,61369,32,42022.933468,7
615,61479,31,15437.170309,9
616,61538,33,13663.316986,7
617,61650,30,18130.873108,10
618,61746,30,7863.931793,10
619,61854,31,71291.089474,9
620,61939,27,42561.280237,13
621,62051,27,38870.205308,11
622,62166,29,23785.450997,11
623,62240,29,83704.827036,11
624,62380,30,17631.680878,9
625,62445,26,8173.710607,14
626,62589,28,52418.801430,11
627,62677,30,31970.876474,8
628,62744,23,15168.593037,15
629,62856,34,36578.037515,6
630,62926,30,75298.377594,8
631,63047,23,21371.803629,16
632,63146,31,68108.921026,9
633,63284,23,9587.635865,17
634,63371,32,60957.317876,8
635,63411,31,22929.547062,9
636,63505,31,36444.320935,9
637,63687,28,181736.346671,12
638,63781,28,31035.915012,9
639,63862,31,32570.337725,9
640,63970,27,30538.574249,11
641,64051,26,67750.840308,12
642,64138,24,39802.346924,16
643,64202,30,53962.693688,10
644,64354,26,20783.727318,14
645,64495,28,53702.229924,12
646,64583,28,29238.787349,12
647,64697,23,41765.006130,17
648,64795,28,36794.873996,12
649,64850,30,127414.598283,10
650,64929,28,19388.368017,11
651,65002,27,15940.985470,13
652,65140,28,12403.444531,11
653,65221,28,23786.880629,12
654,65334,27,23685.638021,13
655,65444,25,10030.921189,14
656,65547,32,25703.577586,8
657,65678,30,50051.972117,8
658,65790,29,43495.676801,11
659,65867,32,61729.668665,7
660,65960,25,9070.184227,15
661,66016,23,5348.323094,17
662,66156,30,25747.160005,9
663,66254,27,27409.505207,13
664,66356,32,26575.301537,7
665,66491,26,64917.235154,14
666,66574,30,35231.499024,10
667,66624,28,32481.456303,12
668,66719,29,43127.220640,10
669,66845,22,7731.237392,17
670,66959,29,9876.553442,11
671,67026,27,15444.322253,13
672,67147,30,23870.638917,10
673,67212,34,18334.146429,5
